Imagen_Nombre,Compania,Naturaleza,Color,Selfie,Ubicacion,Fiesta,Logro,Sonrisas
IMG-20250123-WA0005.jpg,Ninguna,No,Ninguno,No,Exterior,Si,No,Si
bccb20e1-f07f-438e-a39c-6bc20ed5e1e5.jpeg,Pareja,No,Ninguno,Si,Exterior,Si,Si,No
68103a57-a325-4cbd-9ef1-8ca94eaa1622.jpeg,Amigos,No,Rojo,Si,Exterior,Si,No,Si
IMG_1723.jpeg,Ninguna,No,Rosa,No,Exterior,Si,No,Si
IMG_9752.jpeg,Pareja,No,Azul,No,Interior,Si,No,No
IMG_4611.jpeg,Amigos,No,Blanco,No,Interior,Si,No,No
IMG_0830.jpeg,Amigos,No,Negro,Si,Interior,Si,No,Si
IMG-20241120-WA0116.jpg,Ninguna,No,Negro,No,Interior,Si,Si,No
IMG_0225.jpeg,Amigos,No,Ninguno,Si,Interior,Si,No,Si
IMG-20250102-WA0020.jpg,Familia,No,Ninguno,Si,Interior,Si,No,Si
IMG_9973.jpeg,Amigos,No,Ninguno,No,Interior,Si,No,Si
20230815_135729.jpg,Amigos,No,Ninguno,No,Interior,Si,Si,Si
IMG-20240406-WA0028.jpg,Amigos,No,Rosa,Si,Interior,Si,No,Si
